,0,1,2,3,4,5,6,7,8,9
40,2,2,2,1,0,1,1,0,2,1
731,2,0,1,0,1,2,1,0,2,0
11,2,2,2,2,0,1,0,1,1,1
730,2,0,1,0,1,2,1,2,0,0
22,2,2,2,1,1,2,1,2,1,1
684,2,1,2,0,2,2,1,1,1,0
498,0,2,1,2,2,2,0,1,1,1
86,2,2,1,1,2,2,1,2,1,1
531,0,1,2,2,2,0,2,1,1,1
168,2,1,1,2,0,0,2,1,2,1
477,1,0,0,2,2,2,0,0,1,1
660,2,2,0,2,2,1,1,1,1,0
765,1,2,2,1,0,0,1,2,0,0
160,2,1,1,2,1,1,2,2,2,1
937,0,0,1,2,1,2,1,0,2,0
812,1,1,1,2,2,1,2,0,2,0
214,2,1,0,1,1,0,2,2,2,1
790,1,2,0,2,1,0,2,0,1,0
741,1,2,2,2,1,2,1,0,1,0
13,2,2,2,1,2,1,1,2,1,1
649,2,2,1,0,2,1,2,1,1,0
720,2,0,1,2,1,2,1,1,2,0
878,1,0,0,0,1,2,2,2,1,0
212,2,1,0,1,2,0,1,2,2,1
15,2,2,2,1,2,1,1,0,0,1
310,1,2,2,0,2,1,2,0,1,1
387,1,1,2,1,2,0,2,0,2,1
391,1,1,2,1,0,0,2,2,2,1
566,0,1,1,2,2,2,0,2,1,1
346,1,2,0,2,2,2,1,0,1,1
733,2,0,1,0,0,1,2,2,1,0
416,1,1,0,2,0,1,2,2,2,1
724,2,0,1,2,1,0,1,0,2,0
186,2,1,1,0,0,1,2,2,2,1
560,0,1,2,0,0,2,1,0,2,1
596,0,0,2,1,2,0,2,0,1,1
931,0,0,2,1,1,1,2,0,2,0
402,1,1,2,0,1,2,0,2,2,1
318,1,2,1,2,2,2,2,1,1,1
133,2,1,2,1,1,2,0,0,2,1
64,2,2,2,0,1,0,1,2,1,1
240,2,0,1,2,2,2,1,0,1,1
50,2,2,2,0,2,1,1,1,0,1
688,2,1,2,0,1,0,2,1,0,0
583,0,1,0,1,2,1,2,2,2,1
368,1,1,2,2,2,2,1,0,0,1
543,0,1,2,1,1,2,2,0,2,1
706,2,0,2,2,1,2,1,1,1,0
652,2,2,1,0,1,2,1,1,2,0
350,1,2,0,2,2,0,1,2,1,1
755,1,2,2,1,1,2,1,2,0,0
329,1,2,1,1,2,2,2,2,1,1
419,1,1,0,0,2,1,2,2,2,1
674,2,1,2,2,1,2,0,1,1,0
226,2,0,2,2,0,1,2,1,1,1
682,2,1,2,1,1,1,0,2,2,0
232,2,0,2,1,2,0,1,1,2,1
120,2,1,2,2,0,0,2,1,1,1
522,0,2,0,1,2,0,0,2,1,1
722,2,0,1,2,1,1,1,2,2,0
527,0,1,2,2,2,2,1,0,1,1
783,1,2,1,1,0,2,1,2,2,0
847,1,1,0,2,1,2,2,2,1,0
422,1,0,2,2,2,2,1,1,0,1
263,2,0,1,1,2,0,2,1,2,1
606,0,0,2,0,1,2,0,1,2,1
320,1,2,1,2,2,2,1,1,2,1
866,1,0,2,0,1,0,2,2,1,0
849,1,1,0,1,2,2,1,2,2,0
184,2,1,1,0,2,0,0,0,2,1
528,0,1,2,2,2,2,0,1,1,1
292,2,0,0,0,2,1,1,0,2,1
207,2,1,0,1,2,2,1,0,2,1
945,2,1,2,2,2,1,1,2,1,0
190,2,1,0,2,2,1,2,1,0,1
862,1,0,2,1,0,2,1,2,0,0
143,2,1,2,0,0,2,1,1,2,1
926,0,1,0,2,1,0,2,1,2,0
752,1,2,2,1,2,0,1,1,2,0
332,1,2,1,1,2,0,2,2,0,1
510,0,2,1,0,2,2,1,2,1,1
68,2,2,2,0,1,0,0,0,1,1
245,2,0,1,2,2,0,2,1,1,1
34,2,2,2,1,0,2,1,1,0,1
608,0,0,1,2,2,2,2,1,1,1
816,1,1,1,2,2,0,2,0,0,0
281,2,0,0,2,1,0,2,1,0,1
645,2,2,1,1,1,1,0,2,2,0
648,2,2,1,0,2,2,1,1,1,0
826,1,1,1,2,0,2,1,2,2,0
591,0,0,2,1,2,2,1,1,2,1
825,1,1,1,2,0,2,2,0,0,0
896,0,2,1,2,1,1,2,2,1,0
558,0,1,2,0,1,2,0,0,2,1
29,2,2,2,1,1,0,1,2,0,1
893,0,2,1,2,1,2,1,2,1,0
42,2,2,2,1,0,1,0,1,2,1
666,2,2,0,1,1,1,2,0,0,0
270,2,0,1,0,2,1,1,2,2,1
38,2,2,2,1,0,1,2,0,1,1
613,0,0,1,2,2,2,0,0,1,1
593,0,0,2,1,2,1,2,1,2,1
541,0,1,2,1,2,0,2,1,2,1
686,2,1,2,0,1,2,0,1,0,0
10,2,2,2,2,0,1,1,0,1,1
441,1,0,2,1,1,0,2,2,2,1
634,2,2,1,2,1,0,1,2,1,0
657,2,2,1,0,1,0,1,0,2,0
723,2,0,1,2,1,0,1,2,0,0
468,1,0,1,1,0,2,2,2,2,1
861,1,0,2,1,1,2,2,2,1,0
905,0,2,1,0,1,2,1,0,2,0
302,1,2,2,1,2,1,0,2,0,1
181,2,1,1,0,2,1,0,2,2,1
602,0,0,2,0,2,1,2,1,0,1
476,1,0,0,2,2,2,0,1,0,1
815,1,1,1,2,2,0,2,1,2,0
562,0,1,1,2,2,2,2,1,0,1
227,2,0,2,1,2,1,2,1,0,1
552,0,1,2,0,2,1,2,2,1,1
96,2,2,1,0,2,1,1,2,0,1
819,1,1,1,2,2,0,0,0,2,0
842,1,1,1,0,2,0,2,0,2,0
496,0,2,1,2,2,2,1,1,0,1
627,2,2,1,2,2,1,0,1,1,0
797,1,2,0,1,0,2,1,2,0,0
222,2,1,0,0,1,1,2,2,2,1
776,1,2,1,2,1,2,1,2,0,0
813,1,1,1,2,2,1,0,2,2,0
696,2,1,1,0,1,2,2,1,2,0
871,1,0,0,2,1,2,2,0,1,0
138,2,1,2,0,2,1,1,0,2,1
943,2,2,1,1,1,2,2,2,1,0
881,0,2,2,2,0,0,1,1,1,0
629,2,2,1,2,1,2,1,1,0,0
308,1,2,2,1,0,2,0,1,2,1
573,0,1,1,0,2,1,2,2,2,1
262,2,0,1,1,2,1,0,2,2,1
57,2,2,2,0,1,1,2,0,1,1
487,0,2,2,1,2,1,0,2,1,1
305,1,2,2,1,2,0,0,2,1,1
307,1,2,2,1,1,2,0,0,2,1
266,2,0,1,1,1,0,2,2,2,1
135,2,1,2,1,0,2,0,1,2,1
954,1,2,1,2,2,1,2,1,2,0
257,2,0,1,2,0,0,2,1,0,1
445,1,0,2,0,2,2,2,1,1,1
9,2,2,2,2,0,1,1,1,0,1
941,0,0,1,0,1,2,1,2,2,0
520,0,2,0,1,2,1,0,2,0,1
344,1,2,1,0,0,1,2,2,2,1
150,2,1,1,2,2,1,2,1,2,1
563,0,1,1,2,2,2,2,0,1,1
628,2,2,1,2,2,0,1,1,1,0
464,1,0,1,2,2,2,0,0,0,1
886,0,2,2,1,1,1,1,2,2,0
25,2,2,2,1,1,2,0,1,0,1
770,1,2,2,0,1,2,0,0,1,0
875,1,0,0,1,2,2,1,0,2,0
358,1,2,0,0,2,2,1,2,1,1
833,1,1,1,1,2,2,2,0,2,0
775,1,2,1,2,1,2,2,0,1,0
349,1,2,0,2,2,1,0,2,1,1
553,0,1,2,0,2,1,2,1,2,1
622,0,0,0,2,2,2,0,1,1,1
743,1,2,2,2,1,1,2,0,1,0
415,1,1,0,2,1,0,2,2,2,1
683,2,1,2,1,1,0,2,1,2,0
530,0,1,2,2,2,1,2,0,1,1
911,0,2,0,1,1,1,2,0,2,0
309,1,2,2,0,2,1,2,1,0,1
887,0,2,2,1,1,1,0,2,0,0
548,0,1,2,1,0,2,0,0,2,1
399,1,1,2,0,2,0,2,1,2,1
430,1,0,2,2,0,2,1,1,2,1
374,1,1,2,2,2,0,2,1,0,1
490,0,2,2,1,1,2,1,0,2,1
771,1,2,2,0,1,1,2,2,1,0
436,1,0,2,1,2,0,2,2,1,1
802,1,2,0,0,1,0,2,2,1,0
728,2,0,1,0,2,1,2,0,1,0
39,2,2,2,1,0,1,1,2,0,1
511,0,2,1,0,2,1,1,2,2,1
647,2,2,1,1,0,1,2,2,1,0
588,0,0,2,2,2,1,2,1,1,1
400,1,1,2,0,2,0,2,0,0,1
4,2,2,2,2,1,1,0,1,0,1
538,0,1,2,1,2,1,2,2,0,1
601,0,0,2,1,0,2,0,1,2,1
578,0,1,0,2,2,2,1,1,2,1
326,1,2,1,2,2,0,1,2,0,1
381,1,1,2,1,2,2,2,2,1,1
410,1,1,0,2,2,2,1,2,0,1
711,2,0,2,1,1,1,2,0,0,0
